# Wavelength(microns)  (Rp/Rs)^2  Error
5.000168e+01 2.213571e-02 1.487807e-01
4.999835e+01 2.229859e-02 1.493271e-01
4.999502e+01 2.232564e-02 1.494177e-01
4.999168e+01 2.230878e-02 1.493612e-01
4.998835e+01 2.267096e-02 1.505688e-01
4.998502e+01 2.278108e-02 1.509340e-01
4.998169e+01 2.267005e-02 1.505658e-01
4.997836e+01 2.247579e-02 1.499193e-01
4.997502e+01 2.210697e-02 1.486841e-01
4.997169e+01 2.210932e-02 1.486920e-01
4.996836e+01 2.214195e-02 1.488017e-01
4.996503e+01 2.215824e-02 1.488564e-01
4.996170e+01 2.226450e-02 1.492129e-01
4.995837e+01 2.223439e-02 1.491120e-01
4.995504e+01 2.214180e-02 1.488012e-01
4.995171e+01 2.217907e-02 1.489264e-01
4.994838e+01 2.237883e-02 1.495956e-01
4.994505e+01 2.281620e-02 1.510503e-01
4.994172e+01 2.357296e-02 1.535349e-01
4.993839e+01 2.422123e-02 1.556317e-01
4.993506e+01 2.447054e-02 1.564306e-01
4.993173e+01 2.409738e-02 1.552333e-01
4.992840e+01 2.291473e-02 1.513761e-01
4.992507e+01 2.237262e-02 1.495748e-01
4.992175e+01 2.246621e-02 1.498873e-01
4.991842e+01 2.239366e-02 1.496451e-01
4.991509e+01 2.240232e-02 1.496740e-01
4.991176e+01 2.244487e-02 1.498161e-01
4.990844e+01 2.243283e-02 1.497759e-01
4.990511e+01 2.234720e-02 1.494898e-01
4.990178e+01 2.224970e-02 1.491633e-01
4.989846e+01 2.347478e-02 1.532148e-01
4.989513e+01 2.388534e-02 1.545488e-01
4.989180e+01 2.366850e-02 1.538457e-01
4.988848e+01 2.282904e-02 1.510928e-01
4.988515e+01 2.237905e-02 1.495963e-01
4.988183e+01 2.229478e-02 1.493144e-01
4.987850e+01 2.222438e-02 1.490784e-01
4.987518e+01 2.215636e-02 1.488501e-01
4.987185e+01 2.213824e-02 1.487892e-01
4.986853e+01 2.228608e-02 1.492852e-01
4.986520e+01 2.406677e-02 1.551347e-01
4.986188e+01 2.414248e-02 1.553785e-01
4.985855e+01 2.294630e-02 1.514804e-01
4.985523e+01 2.284223e-02 1.511365e-01
4.985191e+01 2.216015e-02 1.488628e-01
4.984858e+01 2.215919e-02 1.488596e-01
4.984526e+01 2.216592e-02 1.488822e-01
4.984194e+01 2.215481e-02 1.488449e-01
4.983862e+01 2.210864e-02 1.486898e-01
4.983529e+01 2.266996e-02 1.505655e-01
4.983197e+01 2.279833e-02 1.509912e-01
4.982865e+01 2.271510e-02 1.507153e-01
4.982533e+01 2.456366e-02 1.567280e-01
4.982201e+01 2.476258e-02 1.573613e-01
4.981869e+01 2.429798e-02 1.558781e-01
4.981536e+01 2.302744e-02 1.517479e-01
4.981204e+01 2.221449e-02 1.490453e-01
