# Wavelength(microns)  (Rp/Rs)^2  Error
2.380000e+00 1.453460e-02 3.750000e-05
2.420000e+00 1.456050e-02 3.120000e-05
2.460000e+00 1.470930e-02 2.910000e-05
2.500000e+00 1.466250e-02 3.150000e-05
2.540000e+00 1.466790e-02 2.890000e-05
2.580000e+00 1.469090e-02 2.640000e-05
2.620000e+00 1.468550e-02 2.790000e-05
2.660000e+00 1.475490e-02 2.660000e-05
2.700000e+00 1.470050e-02 2.590000e-05
2.740000e+00 1.475650e-02 2.810000e-05
2.780000e+00 1.474110e-02 2.690000e-05
2.820000e+00 1.473910e-02 2.720000e-05
2.860000e+00 1.472330e-02 2.710000e-05
2.900000e+00 1.472040e-02 2.620000e-05
2.940000e+00 1.473450e-02 2.550000e-05
2.980000e+00 1.472000e-02 2.470000e-05
3.020000e+00 1.465800e-02 2.650000e-05
3.060000e+00 1.468160e-02 2.460000e-05
3.100000e+00 1.465010e-02 2.470000e-05
3.140000e+00 1.462740e-02 2.480000e-05
3.180000e+00 1.458520e-02 2.510000e-05
3.220000e+00 1.458620e-02 2.510000e-05
3.260000e+00 1.448800e-02 2.450000e-05
3.300000e+00 1.453190e-02 2.400000e-05
3.340000e+00 1.452190e-02 2.430000e-05
3.380000e+00 1.455680e-02 2.480000e-05
3.420000e+00 1.453780e-02 2.640000e-05
3.460000e+00 1.452870e-02 2.740000e-05
3.500000e+00 1.453750e-02 2.760000e-05
3.540000e+00 1.449490e-02 2.720000e-05
3.580000e+00 1.446320e-02 2.760000e-05
3.620000e+00 1.449070e-02 2.870000e-05
3.660000e+00 1.444310e-02 2.800000e-05
3.700000e+00 1.444590e-02 2.800000e-05
3.740000e+00 1.438740e-02 2.710000e-05
3.780000e+00 1.445340e-02 2.770000e-05
3.820000e+00 1.441240e-02 2.800000e-05
3.860000e+00 1.441180e-02 2.950000e-05
3.900000e+00 1.442840e-02 2.850000e-05
3.900000e+00 1.440910e-02 3.680000e-05
3.940000e+00 1.441460e-02 2.680000e-05
3.940000e+00 1.441550e-02 2.780000e-05
3.980000e+00 1.435870e-02 3.500000e-05
3.980000e+00 1.441850e-02 2.740000e-05
4.020000e+00 1.439120e-02 2.700000e-05
4.060000e+00 1.444480e-02 2.750000e-05
4.100000e+00 1.445270e-02 2.880000e-05
4.140000e+00 1.447950e-02 2.960000e-05
4.180000e+00 1.449720e-02 2.920000e-05
4.220000e+00 1.458420e-02 3.110000e-05
4.260000e+00 1.465280e-02 3.120000e-05
4.300000e+00 1.469720e-02 3.260000e-05
4.340000e+00 1.470050e-02 3.480000e-05
4.380000e+00 1.466930e-02 3.370000e-05
4.420000e+00 1.465570e-02 3.460000e-05
4.460000e+00 1.461150e-02 3.600000e-05
4.500000e+00 1.463890e-02 3.650000e-05
4.540000e+00 1.461440e-02 3.700000e-05
4.580000e+00 1.456560e-02 3.980000e-05
4.620000e+00 1.456610e-02 3.850000e-05
4.660000e+00 1.453720e-02 3.920000e-05
4.700000e+00 1.453720e-02 3.980000e-05
4.740000e+00 1.459710e-02 4.030000e-05
4.780000e+00 1.451970e-02 4.200000e-05
4.820000e+00 1.455470e-02 4.410000e-05
4.860000e+00 1.449750e-02 4.600000e-05
4.900000e+00 1.446680e-02 4.770000e-05
4.940000e+00 1.453530e-02 5.200000e-05
4.980000e+00 1.457270e-02 5.480000e-05
